report_id,data_riferimento,titolo_tabella,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Sardegna,168953.0,137568.0,81.4,136258.0,58055.0,5460.0,28.0,9017.0,9169.0,17308.0,1.0,271.0,11518.0,139499.0,82.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Sicilia,532644.0,174246.0,32.7,155619.0,26670.0,180.0,14139.0,7960.0,26852.0,46686.0,2.0,234.0,26029.0,198013.0,37.2
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Toscana,277036.0,251005.0,90.6,227743.0,183591.0,11256.0,39255.0,39093.0,23416.0,88116.0,5874.0,3432.0,16264.0,251929.0,90.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Trento,26984.0,25942.0,96.1,11166.0,23652.0,283.0,1293.0,3285.0,2821.0,7118.0,364.0,127.0,787.0,25964.0,96.2
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Umbria,62308.0,46684.0,74.9,44924.0,25757.0,2596.0,361.0,6411.0,5260.0,10614.0,0.0,9.0,5411.0,47775.0,76.7
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Valle d'Aosta,6904.0,6058.0,87.7,4801.0,3827.0,395.0,354.0,399.0,461.0,1338.0,27.0,34.0,626.0,6101.0,88.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Veneto,312907.0,312682.0,99.9,312576.0,291756.0,14161.0,9908.0,47889.0,23962.0,72082.0,2409.0,371.0,33359.0,312716.0,99.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Totale,4213590.0,2860348.0,67.9,2510219.0,1726643.0,113535.0,369007.0,254699.0,322529.0,882259.0,10175.0,32173.0,275817.0,2950439.0,70.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Abruzzo,66528.0,56452.0,84.9,44870.0,31357.0,14.0,1489.0,852.0,2124.0,4407.0,0.0,2.0,4189.0,57250.0,86.1
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Basilicata,44085.0,15309.0,34.7,8707.0,3805.0,0.0,3297.0,1578.0,3939.0,8705.0,0.0,126.0,1866.0,17135.0,38.9
