report_id,data_riferimento,titolo_tabella,dimensione,etichetta,percorso,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling,849569.0,181187.0,21.3,162850.0,19.2,18337.0,2.2,89.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,4_lavoro_inclusione,4_lavoro_inclusione,146431.0,34083.0,23.3,27794.0,19.0,6289.0,4.3,81.5
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Abruzzo,,64468.0,31074.0,48.2,28566.0,44.3,2508.0,3.9,91.9
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Basilicata,,40700.0,15380.0,37.8,14066.0,34.6,1314.0,3.2,91.5
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Bolzano,,14769.0,8263.0,55.9,7873.0,53.3,390.0,2.6,95.3
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Calabria,,154772.0,53412.0,34.5,49116.0,31.7,4296.0,2.8,92.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Campania,,484309.0,162040.0,33.5,147735.0,30.5,14305.0,3.0,91.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Emilia-Romagna,,247654.0,118497.0,47.8,107548.0,43.4,10949.0,4.4,90.8
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,,98866.0,52597.0,53.2,50055.0,50.6,2542.0,2.6,95.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lazio,,238730.0,107183.0,44.9,94840.0,39.7,12343.0,5.2,88.5
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Liguria,,61450.0,31008.0,50.5,28171.0,45.8,2837.0,4.6,90.9
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lombardia,,429792.0,194106.0,45.2,171933.0,40.0,22173.0,5.2,88.6
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Marche,,97945.0,47556.0,48.6,43611.0,44.5,3945.0,4.0,91.7
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Molise,,11442.0,4364.0,38.1,3953.0,34.5,411.0,3.6,90.6
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Piemonte,,230447.0,99246.0,43.1,89251.0,38.7,9995.0,4.3,89.9
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Puglia,,332662.0,139499.0,41.9,129744.0,39.0,9755.0,2.9,93.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sardegna,,153176.0,77237.0,50.4,72620.0,47.4,4617.0,3.0,94.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sicilia,,466875.0,167130.0,35.8,155161.0,33.2,11969.0,2.6,92.8
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Toscana,,244844.0,131596.0,53.7,120911.0,49.4,10685.0,4.4,91.9
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Trento,,24369.0,12786.0,52.5,12161.0,49.9,625.0,2.6,95.1
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Umbria,,55811.0,28667.0,51.4,26297.0,47.1,2370.0,4.2,91.7
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Valle d'Aosta,,5967.0,2992.0,50.1,2758.0,46.2,234.0,3.9,92.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Veneto,,279677.0,139380.0,49.8,130856.0,46.8,8524.0,3.0,93.9
