file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"3,7",3.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,14.004,14004,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,1,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,6.079,6079,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,2,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,1.702,1702,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,3,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,285,285,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"63,5",63.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"27,5",27.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"7,7",7.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Friuli-Venezia Giulia,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"1,3",1.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Lazio,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,36.546,36546,count,ok
