file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),6.019,6019,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"24,1",24.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),1.801,1801,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"7,2",7.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),4.218,4218,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"16,9",16.9,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),14.656,14656,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),4.393,4393,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"30,0",30.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),620,620,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"4,2",4.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Friuli-Venezia Giulia,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),3.773,3773,count,ok
