report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_5-2025,2025-03-31,13855,6931,50,6494,46.9,437,3.2,93.7,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_5-2025,2025-03-31,143394,42210,29.4,38021,26.5,4189,2.9,90.1,regione,Calabria,NA
INAPP_Focus-GOL_5-2025,2025-03-31,457117,134604,29.4,120222,26.3,14382,3.1,89.3,regione,Campania,NA
INAPP_Focus-GOL_5-2025,2025-03-31,229872,97458,42.4,86477,37.6,10981,4.8,88.7,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_5-2025,2025-03-31,93714,43649,46.6,41032,43.8,2617,2.8,94,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_5-2025,2025-03-31,225506,94211,41.8,82038,36.4,12173,5.4,87.1,regione,Lazio,NA
INAPP_Focus-GOL_5-2025,2025-03-31,56990,23585,41.4,20662,36.3,2923,5.1,87.6,regione,Liguria,NA
INAPP_Focus-GOL_5-2025,2025-03-31,392234,167360,42.7,146360,37.3,21000,5.4,87.5,regione,Lombardia,NA
INAPP_Focus-GOL_5-2025,2025-03-31,92793,38443,41.4,34259,36.9,4184,4.5,89.1,regione,Marche,NA
INAPP_Focus-GOL_5-2025,2025-03-31,9947,3474,34.9,3104,31.2,370,3.7,89.3,regione,Molise,NA
INAPP_Focus-GOL_5-2025,2025-03-31,210546,84900,40.3,75456,35.8,9444,4.5,88.9,regione,Piemonte,NA
INAPP_Focus-GOL_5-2025,2025-03-31,307146,105862,34.5,95995,31.3,9867,3.2,90.7,regione,Puglia,NA
INAPP_Focus-GOL_5-2025,2025-03-31,145661,53557,36.8,48390,33.2,5167,3.5,90.4,regione,Sardegna,NA
INAPP_Focus-GOL_5-2025,2025-03-31,436484,135084,30.9,123085,28.2,11999,2.7,91.1,regione,Sicilia,NA
INAPP_Focus-GOL_5-2025,2025-03-31,228505,102026,44.6,90493,39.6,11533,5,88.7,regione,Toscana,NA
INAPP_Focus-GOL_5-2025,2025-03-31,22709,9945,43.8,9249,40.7,696,3.1,93,regione,P.A. Trento,NA
INAPP_Focus-GOL_5-2025,2025-03-31,52304,25071,47.9,22680,43.4,2391,4.6,90.5,regione,Umbria,NA
INAPP_Focus-GOL_5-2025,2025-03-31,260500,114988,44.1,106392,40.8,8596,3.3,92.5,regione,Veneto,NA
INAPP_Focus-GOL_5-2025,2025-03-31,3483500,1323563,38,1186513,34.1,137050,3.9,89.6,regione,Totale,NA
INAPP_Focus-GOL_5-2025,2025-03-31,1749419,824956,47.2,747566,42.7,77390,4.4,90.6,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_5-2025,2025-03-31,861518,330870,38.4,293801,34.1,37069,4.3,88.8,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_5-2025,2025-03-31,740210,141121,19.1,124419,16.8,16702,2.3,88.2,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_5-2025,2025-03-31,132353,26616,20.1,20727,15.7,5889,4.4,77.9,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_6-2025,2025-04-30,62077,27297,44,24689,39.8,2608,4.2,90.4,regione,Abruzzo,NA
