report_id,data_riferimento,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
INAPP_Focus-GOL_3-2025,2025-01-31,Toscana,44389,83884,103415,11831,243519,4.9,214267
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Trento,4950,8049,8032,683,21714,3.1,21236
INAPP_Focus-GOL_3-2025,2025-01-31,Umbria,11339,20515,21448,2084,55386,3.8,49646
INAPP_Focus-GOL_3-2025,2025-01-31,Veneto,40551,115686,107550,9649,273436,3.5,243260
INAPP_Focus-GOL_3-2025,2025-01-31,Totale,707372,1298054,1446978,129904,3582308,3.6,3286912
INAPP_Focus-GOL_4-2025,2025-02-28,Abruzzo,9694,25261,24234,4698,63887,7.4,59013
INAPP_Focus-GOL_4-2025,2025-02-28,Basilicata,6584,13073,18885,3949,42491,9.3,37121
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Bolzano,2430,5871,5609,975,14885,6.6,13527
INAPP_Focus-GOL_4-2025,2025-02-28,Calabria,28235,48971,63803,9564,150573,6.4,138029
INAPP_Focus-GOL_4-2025,2025-02-28,Campania,93294,167484,208925,27423,497126,5.5,447378
INAPP_Focus-GOL_4-2025,2025-02-28,Emilia-Romagna,44391,83967,89298,18639,236295,7.9,222702
INAPP_Focus-GOL_4-2025,2025-02-28,Friuli-Venezia Giulia,21740,39384,37719,6321,105164,6,91834
INAPP_Focus-GOL_4-2025,2025-02-28,Lazio,61900,79189,75350,11930,228369,5.2,219860
INAPP_Focus-GOL_4-2025,2025-02-28,Liguria,11864,21184,22836,3115,58999,5.3,55247
INAPP_Focus-GOL_4-2025,2025-02-28,Lombardia,78361,138341,165352,32123,414177,7.8,378896
INAPP_Focus-GOL_4-2025,2025-02-28,Marche,18597,36405,39448,6513,100963,6.5,90644
INAPP_Focus-GOL_4-2025,2025-02-28,Molise,1712,2672,4583,1254,10221,12.3,9533
INAPP_Focus-GOL_4-2025,2025-02-28,Piemonte,46981,73758,80876,18458,220073,8.4,202853
INAPP_Focus-GOL_4-2025,2025-02-28,Puglia,71716,103193,118002,22330,315241,7.1,298652
INAPP_Focus-GOL_4-2025,2025-02-28,Sardegna,39240,59260,54347,8320,161167,5.2,143332
INAPP_Focus-GOL_4-2025,2025-02-28,Sicilia,67226,169219,194992,30936,462373,6.7,426447
INAPP_Focus-GOL_4-2025,2025-02-28,Toscana,45469,85111,103721,22260,256561,8.7,221895
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Trento,4945,8047,8030,1507,22529,6.7,21966
INAPP_Focus-GOL_4-2025,2025-02-28,Umbria,11314,20495,21431,4140,57380,7.2,51149
INAPP_Focus-GOL_4-2025,2025-02-28,Veneto,40654,116101,110512,19761,287028,6.9,254343
INAPP_Focus-GOL_4-2025,2025-02-28,Totale,707644,1298913,1450010,254686,3711253,6.9,3389657
INAPP_Focus-GOL_5-2025,2025-03-31,Abruzzo,9674,25244,24205,6687,65810,10.2,60700
INAPP_Focus-GOL_5-2025,2025-03-31,Basilicata,6548,13055,18782,5221,43606,12,38106
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Bolzano,2427,5888,5616,1388,15319,9.1,13855
INAPP_Focus-GOL_5-2025,2025-03-31,Calabria,28364,49134,63623,16730,157851,10.6,144448
INAPP_Focus-GOL_5-2025,2025-03-31,Campania,92935,167338,208484,40688,509445,8,457972
INAPP_Focus-GOL_5-2025,2025-03-31,Emilia-Romagna,44379,83912,89281,27979,245551,11.4,229902
INAPP_Focus-GOL_5-2025,2025-03-31,Friuli-Venezia Giulia,21721,39368,37736,9090,107915,8.4,94093
INAPP_Focus-GOL_5-2025,2025-03-31,Lazio,61812,79147,75325,18457,234741,7.9,225516
INAPP_Focus-GOL_5-2025,2025-03-31,Liguria,11835,21164,23095,4943,61037,8.1,56990
INAPP_Focus-GOL_5-2025,2025-03-31,Lombardia,77970,137986,165158,48107,429221,11.2,392313
INAPP_Focus-GOL_5-2025,2025-03-31,Marche,18549,36328,39340,9410,103627,9.1,92793
INAPP_Focus-GOL_5-2025,2025-03-31,Molise,1710,2669,4581,2069,11029,18.8,10255
INAPP_Focus-GOL_5-2025,2025-03-31,Piemonte,46867,73723,80817,28110,229517,12.2,210599
INAPP_Focus-GOL_5-2025,2025-03-31,Puglia,71544,103066,118036,31697,324343,9.8,307146
INAPP_Focus-GOL_5-2025,2025-03-31,Sardegna,39109,59153,54173,12301,164736,7.5,146388
INAPP_Focus-GOL_5-2025,2025-03-31,Sicilia,66810,168983,194407,43505,473705,9.2,437231
INAPP_Focus-GOL_5-2025,2025-03-31,Toscana,45421,84991,103592,30927,264931,11.7,228505
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Trento,4944,8040,8028,2365,23377,10.1,22709
INAPP_Focus-GOL_5-2025,2025-03-31,Umbria,11228,20422,21393,5963,59006,10.1,52509
INAPP_Focus-GOL_5-2025,2025-03-31,Veneto,40624,116020,110478,28879,296001,9.8,261195
INAPP_Focus-GOL_5-2025,2025-03-31,Totale,705767,1297558,1448207,375253,3826785,9.8,3488647
INAPP_Focus-GOL_6-2025,2025-04-30,Abruzzo,9667,25243,24203,8332,67445,12.4,62077
INAPP_Focus-GOL_6-2025,2025-04-30,Basilicata,6514,13036,18781,6391,44722,14.3,39011
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Bolzano,2426,5884,5617,1830,15757,11.6,14205
INAPP_Focus-GOL_6-2025,2025-04-30,Calabria,28307,49110,63534,22048,162999,13.5,149019
INAPP_Focus-GOL_6-2025,2025-04-30,Campania,92547,167149,208478,51829,520003,10,466868
INAPP_Focus-GOL_6-2025,2025-04-30,Emilia-Romagna,44362,83885,89269,35726,253242,14.1,235956
INAPP_Focus-GOL_6-2025,2025-04-30,Friuli-Venezia Giulia,21702,39368,37733,11295,110098,10.3,95825
INAPP_Focus-GOL_6-2025,2025-04-30,Lazio,61786,79138,75329,23641,239894,9.9,230022
INAPP_Focus-GOL_6-2025,2025-04-30,Liguria,11820,21158,23340,6515,62833,10.4,58513
INAPP_Focus-GOL_6-2025,2025-04-30,Lombardia,78148,138172,165194,63646,445160,14.3,405095
INAPP_Focus-GOL_6-2025,2025-04-30,Marche,18492,36297,39324,11894,106007,11.2,94614
INAPP_Focus-GOL_6-2025,2025-04-30,Molise,1710,2668,4580,2625,11583,22.7,10734
INAPP_Focus-GOL_6-2025,2025-04-30,Piemonte,46822,73707,80811,37084,238424,15.6,217864
INAPP_Focus-GOL_6-2025,2025-04-30,Puglia,71334,102917,118166,40610,333027,12.2,315278
INAPP_Focus-GOL_6-2025,2025-04-30,Sardegna,38951,59040,54035,15589,167615,9.3,148854
INAPP_Focus-GOL_6-2025,2025-04-30,Sicilia,66373,168693,194437,54372,483875,11.2,446451
