report_id,data_riferimento,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
INAPP_Focus-GOL_5-2025,2025-03-31,Marche,92793,76356,82.3,39140,68793,1455,1324,2606,2643,6322,0,849,8532,78038,84.1
INAPP_Focus-GOL_5-2025,2025-03-31,Molise,10255,1871,18.2,768,17,3,927,130,194,1242,1,0,682,2520,24.6
INAPP_Focus-GOL_5-2025,2025-03-31,Piemonte,210599,141733,67.3,134375,70822,16603,34332,4086,7366,42919,0,38,20040,144432,68.6
INAPP_Focus-GOL_5-2025,2025-03-31,Puglia,307146,124634,40.6,62035,83931,410,14102,9360,2822,25943,4,2835,16669,137569,44.8
INAPP_Focus-GOL_5-2025,2025-03-31,Sardegna,146388,112551,76.9,111800,44947,1236,14,5753,3137,8756,1,8,8390,114971,78.5
INAPP_Focus-GOL_5-2025,2025-03-31,Sicilia,437231,109515,25,104819,8905,56,12030,3111,2134,16942,1,169,18816,127907,29.3
INAPP_Focus-GOL_5-2025,2025-03-31,Toscana,228505,205672,90,187493,150157,7782,20602,23648,8807,47197,3369,2828,11960,206471,90.4
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Trento,22709,21579,95,8955,19171,170,596,1980,1526,4078,287,7,447,21599,95.1
INAPP_Focus-GOL_5-2025,2025-03-31,Umbria,52509,36307,69.1,35941,18384,338,290,4214,2907,6473,0,4,4128,38236,72.8
INAPP_Focus-GOL_5-2025,2025-03-31,Veneto,261195,260772,99.8,260595,251252,11139,7076,36980,16345,52974,1621,199,26821,260855,99.9
INAPP_Focus-GOL_5-2025,2025-03-31,Totale,3488647,2215142,63.5,1965996,1328613,68939,256866,178592,149024,549859,5878,15912,209859,2297746,65.9
INAPP_Focus-GOL_6-2025,2025-04-30,Abruzzo,62077,51867,83.6,40622,28578,11,1453,607,597,2623,0,1,3607,52589,84.7
INAPP_Focus-GOL_6-2025,2025-04-30,Basilicata,39011,11742,30.1,7467,2486,0,2436,1233,2184,5834,0,73,1570,13404,34.4
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Bolzano,14205,14020,98.7,1411,14004,16,15,670,286,831,0,20,274,14028,98.8
INAPP_Focus-GOL_6-2025,2025-04-30,Calabria,149019,93698,62.9,92241,44138,2686,5118,4330,2420,11548,0,3171,5534,97350,65.3
INAPP_Focus-GOL_6-2025,2025-04-30,Campania,466868,308411,66.1,294660,90419,7628,112698,208,11763,124460,606,1812,23352,317194,67.9
INAPP_Focus-GOL_6-2025,2025-04-30,Emilia-Romagna,235956,200269,84.9,188142,151661,7531,33292,6308,48181,84853,1,1699,13803,202510,85.8
INAPP_Focus-GOL_6-2025,2025-04-30,Friuli-Venezia Giulia,95825,90457,94.4,69348,81571,2158,6452,11246,9341,24369,64,49,4858,90825,94.8
INAPP_Focus-GOL_6-2025,2025-04-30,Lazio,230022,115051,50,114972,25068,20,6366,11358,4068,21369,0,465,14184,125385,54.5
INAPP_Focus-GOL_6-2025,2025-04-30,Liguria,58513,44197,75.5,37636,23293,1516,8,8753,7686,14746,0,37,3274,44730,76.4
INAPP_Focus-GOL_6-2025,2025-04-30,Lombardia,405095,231573,57.2,207675,172475,9451,6668,46360,28253,68991,6,1928,26581,245300,60.6
INAPP_Focus-GOL_6-2025,2025-04-30,Marche,94614,79935,84.5,42540,72231,1722,1451,3149,2697,7012,0,1118,8824,81408,86
