regione;anno;trimestre;trimestre_roman;flusso;variabile;valore;file_origine
Emilia Romagna;2017;2;II;avviamenti;lavoratori;208751.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;2;II;avviamenti;media;1.2491006031108833;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;2;II;cessazioni;rapporti;198609.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;2;II;cessazioni;lavoratori;158430.0;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;2;II;cessazioni;media;1.2536072713501232;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;avviamenti;rapporti;46445.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;avviamenti;lavoratori;40547.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;avviamenti;media;1.1454608232421635;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;cessazioni;rapporti;37246.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;cessazioni;lavoratori;31823.0;Allegato-IV-Trimestre-2021.xlsx
Friuli Venezia Giulia;2017;2;II;cessazioni;media;1.170411337711718;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;avviamenti;rapporti;382794.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;avviamenti;lavoratori;213596.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;avviamenti;media;1.7921403022528513;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;cessazioni;rapporti;369227.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;cessazioni;lavoratori;199436.0;Allegato-IV-Trimestre-2021.xlsx
Lazio;2017;2;II;cessazioni;media;1.8513558234220502;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;avviamenti;rapporti;71239.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;avviamenti;lavoratori;58717.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;avviamenti;media;1.2132602142480031;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;cessazioni;rapporti;53214.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;cessazioni;lavoratori;43270.0;Allegato-IV-Trimestre-2021.xlsx
Liguria;2017;2;II;cessazioni;media;1.2298128033279407;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;avviamenti;rapporti;395166.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;avviamenti;lavoratori;299643.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;avviamenti;media;1.3187893593376117;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;cessazioni;rapporti;370943.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;cessazioni;lavoratori;275844.0;Allegato-IV-Trimestre-2021.xlsx
Lombardia;2017;2;II;cessazioni;media;1.344756456547904;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;avviamenti;rapporti;76044.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;avviamenti;lavoratori;61700.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;avviamenti;media;1.232479740680713;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;cessazioni;rapporti;57146.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;cessazioni;lavoratori;45350.0;Allegato-IV-Trimestre-2021.xlsx
Marche;2017;2;II;cessazioni;media;1.2601102535832414;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;avviamenti;rapporti;11986.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;avviamenti;lavoratori;9819.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;avviamenti;media;1.2206945717486506;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;cessazioni;rapporti;9626.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;cessazioni;lavoratori;7665.0;Allegato-IV-Trimestre-2021.xlsx
Molise;2017;2;II;cessazioni;media;1.2558382257012395;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;avviamenti;rapporti;943.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;avviamenti;lavoratori;887.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;avviamenti;media;1.0631341600901916;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;cessazioni;rapporti;1002.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;cessazioni;lavoratori;942.0;Allegato-IV-Trimestre-2021.xlsx
N.D. (c );2017;2;II;cessazioni;media;1.0636942675159236;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;avviamenti;rapporti;127948.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;avviamenti;lavoratori;107992.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;avviamenti;media;1.1847914660345211;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;cessazioni;rapporti;119154.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;cessazioni;lavoratori;98863.0;Allegato-IV-Trimestre-2021.xlsx
Piemonte;2017;2;II;cessazioni;media;1.2052436199589331;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;2;II;avviamenti;rapporti;335872.0;Allegato-IV-Trimestre-2021.xlsx
