regione;anno;trimestre;trimestre_roman;flusso;rapporti;lavoratori;media;file_origine
N.D. (c );2025;1;I;cessazioni;767.0;619.0;1.2390953150242325;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2025;1;I;avviamenti;166165.0;137563.0;1.2079192806205157;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2025;1;I;cessazioni;121878.0;99115.0;1.2296625132421934;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2025;1;I;avviamenti;291148.0;207994.0;1.3997903785686125;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2025;1;I;cessazioni;182567.0;123106.0;1.4830065147108995;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2025;1;I;avviamenti;71290.0;55996.0;1.2731266519037074;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2025;1;I;cessazioni;51194.0;38057.0;1.3451927372099746;Allegato-III-Trimestre-CO-2025.xlsx
Sicilia;2025;1;I;avviamenti;248389.0;196101.0;1.2666381099535444;Allegato-III-Trimestre-CO-2025.xlsx
Sicilia;2025;1;I;cessazioni;148426.0;105808.0;1.4027861787388478;Allegato-III-Trimestre-CO-2025.xlsx
Toscana;2025;1;I;avviamenti;202869.0;164467.0;1.2334936491819029;Allegato-III-Trimestre-CO-2025.xlsx
Toscana;2025;1;I;cessazioni;137826.0;106954.0;1.2886474559156273;Allegato-III-Trimestre-CO-2025.xlsx
Totale (d);2025;1;I;avviamenti;3300908.0;2447993.0;1.3484139864779026;Allegato-III-Trimestre-CO-2025.xlsx
Totale (d);2025;1;I;cessazioni;2350512.0;1644564.0;1.4292614942319057;Allegato-III-Trimestre-CO-2025.xlsx
Trento;2025;1;I;avviamenti;29678.0;25441.0;1.1665421956684092;Allegato-III-Trimestre-CO-2025.xlsx
Trento;2025;1;I;cessazioni;34401.0;30377.0;1.1324686440398986;Allegato-III-Trimestre-CO-2025.xlsx
Umbria;2025;1;I;avviamenti;43083.0;35141.0;1.2260038132096411;Allegato-III-Trimestre-CO-2025.xlsx
Umbria;2025;1;I;cessazioni;29069.0;22941.0;1.2671200034872063;Allegato-III-Trimestre-CO-2025.xlsx
Valle d’Aosta/Vallée d’Aoste;2025;1;I;avviamenti;6693.0;5514.0;1.2138193688792165;Allegato-III-Trimestre-CO-2025.xlsx
Valle d’Aosta/Vallée d’Aoste;2025;1;I;cessazioni;6963.0;5829.0;1.1945445187853834;Allegato-III-Trimestre-CO-2025.xlsx
Veneto;2025;1;I;avviamenti;227750.0;194673.0;1.1699105679780966;Allegato-III-Trimestre-CO-2025.xlsx
Veneto;2025;1;I;cessazioni;165805.0;138984.0;1.1929790479479652;Allegato-III-Trimestre-CO-2025.xlsx
Abruzzo;2025;2;II;avviamenti;77557.0;63166.0;1.227828262039705;Allegato-III-Trimestre-CO-2025.xlsx
Abruzzo;2025;2;II;cessazioni;67890.0;54924.0;1.2360716626611317;Allegato-III-Trimestre-CO-2025.xlsx
Basilicata;2025;2;II;avviamenti;41433.0;30938.0;1.3392268407783308;Allegato-III-Trimestre-CO-2025.xlsx
Basilicata;2025;2;II;cessazioni;42453.0;29599.0;1.4342714280887867;Allegato-III-Trimestre-CO-2025.xlsx
Bolzano/Bolzen;2025;2;II;avviamenti;60765.0;54921.0;1.1064073851532201;Allegato-III-Trimestre-CO-2025.xlsx
Bolzano/Bolzen;2025;2;II;cessazioni;40182.0;36380.0;1.1045079714128643;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2025;2;II;avviamenti;92203.0;78093.0;1.1806820073502107;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2025;2;II;cessazioni;73392.0;57804.0;1.2696699190367449;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2025;2;II;avviamenti;284061.0;208958.0;1.3594167248920836;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2025;2;II;cessazioni;273211.0;193451.0;1.4123007893471733;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2025;2;II;avviamenti;300721.0;233206.0;1.289507988645232;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2025;2;II;cessazioni;284344.0;222042.0;1.28058655569667;Allegato-III-Trimestre-CO-2025.xlsx
